complex_id,month,lawd_code5,property_type,area_bucket,median_price,weighted_price,trade_count,rent_count,jeonse_median,jeonse_ratio,drawdown_from_high,transaction_heat,reacceleration_score,liquidity_score,leader_score
27260|지산서한이다음아파트|apartment|59,2026-03,27260,apartment,59,165000000.0,150000000.0,1.0,2.0,12500000.0,8.333333333333332,0.0,1.0,1.0,100.0,23.54368932038835
27260|지산서한이다음아파트|apartment|59,2026-04,27260,apartment,59,165000000.0,157500000.0,0.0,1.0,20000000.0,12.698412698412698,0.0,0.0,0.5,66.66666666666666,45.84178498985801
27260|지산서한이다음아파트|apartment|74,2026-01,27260,apartment,74,170000000.0,170000000.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,40.0
27260|지산서한이다음아파트|apartment|74,2026-02,27260,apartment,74,170000000.0,170000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,27.431421446384043
27260|지산서한이다음아파트|apartment|74,2026-03,27260,apartment,74,170000000.0,170000000.0,1.0,2.0,10000000.0,5.88235294117647,0.0,2.0,0.5,100.0,25.970873786407765
27260|지산서한이다음아파트|apartment|unknown,2026-04,27260,apartment,unknown,0.0,0.0,0.0,1.0,20000000.0,0.0,0.0,0.0,1.0,0.0,20.99391480730223
27260|지산타운|apartment|59,2026-01,27260,apartment,59,140000000.0,140000000.0,2.0,5.0,10000000.0,7.142857142857142,0.0,2.0,1.0,28.57142857142857,37.42857142857143
27260|지산타운|apartment|59,2026-02,27260,apartment,59,100000000.0,120000000.0,1.0,2.0,7500000.0,6.25,-14.28571428571429,0.5,1.0,42.857142857142854,21.94513715710723
27260|지산타운|apartment|59,2026-03,27260,apartment,59,134000000.0,127000000.0,3.0,6.0,46500000.0,36.61417322834646,-9.285714285714286,2.0,1.0,85.71428571428571,19.902912621359224
27260|지산타운|apartment|59,2026-04,27260,apartment,59,150000000.0,138500000.0,3.0,5.0,10000000.0,7.2202166064981945,-1.0714285714285676,1.5,2.0,100.0,43.81338742393509
27260|지산타운|apartment|under_40,2026-01,27260,apartment,under_40,0.0,0.0,0.0,1.0,85000000.0,0.0,0.0,0.0,1.0,0.0,17.142857142857142
27260|지산타운|apartment|under_40,2026-02,27260,apartment,under_40,0.0,0.0,0.0,1.0,95000000.0,0.0,0.0,0.0,1.0,0.0,10.224438902743142
27260|지산타운|apartment|under_40,2026-03,27260,apartment,under_40,118000000.0,118000000.0,1.0,0.0,95000000.0,80.50847457627118,0.0,1.0,1.0,100.0,18.932038834951456
27260|지산타운|apartment|under_40,2026-04,27260,apartment,under_40,118000000.0,118000000.0,0.0,1.0,88200000.0,74.7457627118644,0.0,0.0,1.0,100.0,42.190669371196755
27260|지산타운|apartment|unknown,2026-04,27260,apartment,unknown,0.0,0.0,0.0,6.0,49100000.0,0.0,0.0,0.0,1.0,0.0,20.99391480730223
27260|지산한라타운|apartment|59,2026-01,27260,apartment,59,160000000.0,160000000.0,3.0,5.0,20000000.0,12.5,0.0,3.0,1.0,60.0,39.14285714285714
27260|지산한라타운|apartment|59,2026-02,27260,apartment,59,188000000.0,174000000.0,1.0,5.0,10000000.0,5.747126436781609,0.0,0.3333333333333333,1.0,80.0,27.93017456359102
27260|지산한라타운|apartment|59,2026-03,27260,apartment,59,125000000.0,149500000.0,1.0,6.0,12500000.0,8.361204013377927,-14.080459770114938,0.5,0.3333333333333333,100.0,23.300970873786408
27260|지산한라타운|apartment|59,2026-04,27260,apartment,59,163500000.0,156500000.0,3.0,0.0,12500000.0,7.987220447284344,-10.057471264367813,1.7999999999999998,1.0,100.0,45.436105476673426
27260|지산화성파크드림|apartment|84,2026-01,27260,apartment,84,0.0,0.0,0.0,1.0,20000000.0,0.0,0.0,0.0,1.0,0.0,17.142857142857142
27260|지산화성파크드림|apartment|84,2026-02,27260,apartment,84,298000000.0,298000000.0,1.0,1.0,20000000.0,6.7114093959731544,0.0,1.0,1.0,50.0,45.6359102244389
27260|지산화성파크드림|apartment|84,2026-03,27260,apartment,84,298000000.0,298000000.0,0.0,0.0,20000000.0,6.7114093959731544,0.0,0.0,1.0,50.0,42.961165048543684
27260|지산화성파크드림|apartment|84,2026-04,27260,apartment,84,315000000.0,306500000.0,1.0,0.0,20000000.0,6.525285481239804,0.0,3.0,1.0,100.0,59.43204868154158
27260|천가지꿈|apartment|84,2026-04,27260,apartment,84,290000000.0,290000000.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,100.0,57.606490872210955
27260|천마타운|apartment|84,2026-01,27260,apartment,84,0.0,0.0,0.0,1.0,220000000.0,0.0,0.0,0.0,1.0,0.0,17.142857142857142
27260|천마타운|apartment|84,2026-02,27260,apartment,84,0.0,0.0,0.0,0.0,220000000.0,0.0,0.0,0.0,1.0,0.0,10.224438902743142
27260|천마타운|apartment|84,2026-03,27260,apartment,84,0.0,0.0,0.0,3.0,50000000.0,0.0,0.0,0.0,1.0,0.0,8.859223300970873
27260|천마타운|apartment|84,2026-04,27260,apartment,84,335000000.0,335000000.0,1.0,0.0,50000000.0,14.925373134328357,0.0,1.0,1.0,100.0,62.88032454361054
27260|천마타운|apartment|over_101,2026-01,27260,apartment,over_101,410000000.0,410000000.0,1.0,2.0,290000000.0,70.73170731707317,0.0,1.0,1.0,25.0,64.28571428571429
27260|천마타운|apartment|over_101,2026-02,27260,apartment,over_101,410000000.0,410000000.0,0.0,4.0,285000000.0,69.51219512195121,0.0,0.0,1.0,25.0,58.728179551122196
27260|천마타운|apartment|over_101,2026-03,27260,apartment,over_101,448000000.0,429000000.0,1.0,1.0,30000000.0,6.993006993006993,0.0,2.0,0.5,50.0,58.98058252427184
27260|천마타운|apartment|over_101,2026-04,27260,apartment,over_101,463000000.0,446000000.0,3.0,0.0,30000000.0,6.726457399103139,0.0,4.5,4.0,100.0,71.6024340770791
27260|청구빌라맨션|apartment|59,2026-02,27260,apartment,59,330000000.0,330000000.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,50.374064837905244
27260|청구빌라맨션|apartment|84,2026-01,27260,apartment,84,0.0,0.0,0.0,2.0,56500000.0,0.0,0.0,0.0,1.0,0.0,17.142857142857142
27260|청구성조타운|apartment|59,2026-01,27260,apartment,59,270000000.0,270000000.0,1.0,2.0,10000000.0,3.7037037037037033,0.0,1.0,1.0,33.33333333333333,50.28571428571429
27260|청구성조타운|apartment|59,2026-02,27260,apartment,59,255000000.0,262500000.0,1.0,2.0,110000000.0,41.904761904761905,-2.777777777777779,1.0,1.0,66.66666666666666,39.900249376558605
27260|청구성조타운|apartment|59,2026-03,27260,apartment,59,257000000.0,259750000.0,1.0,1.0,20000000.0,7.699711260827718,-3.7962962962962976,1.0,1.0,100.0,37.37864077669903
27260|청구성조타운|apartment|59,2026-04,27260,apartment,59,243000000.0,251375000.0,1.0,2.0,100000000.0,39.781203381402285,-6.898148148148153,1.0,1.0,100.0,54.563894523326574
27260|청구성조타운|apartment|74,2026-01,27260,apartment,74,360000000.0,360000000.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,59.285714285714285
27260|청구성조타운|apartment|84,2026-01,27260,apartment,84,346000000.0,346000000.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,58.57142857142858
27260|청구성조타운|apartment|84,2026-02,27260,apartment,84,353000000.0,349500000.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,51.3715710723192
27260|청구성조타운|apartment|84,2026-03,27260,apartment,84,353000000.0,351250000.0,0.0,1.0,250000000.0,71.17437722419929,0.0,0.0,0.5,100.0,50.48543689320388
27260|청구성조타운|apartment|84,2026-04,27260,apartment,84,353000000.0,352125000.0,0.0,2.0,20000000.0,5.679801206957757,0.0,0.0,0.0,50.0,64.70588235294117
27260|청구성조타운|apartment|over_101,2026-02,27260,apartment,over_101,0.0,0.0,0.0,1.0,310000000.0,0.0,0.0,0.0,1.0,0.0,10.224438902743142
27260|청구성조타운|apartment|unknown,2026-04,27260,apartment,unknown,0.0,0.0,0.0,4.0,20000000.0,0.0,0.0,0.0,1.0,0.0,20.99391480730223
27260|청구전원타운|apartment|59,2026-01,27260,apartment,59,0.0,0.0,0.0,3.0,120000000.0,0.0,0.0,0.0,1.0,0.0,17.142857142857142
27260|청구전원타운|apartment|59,2026-02,27260,apartment,59,200000000.0,200000000.0,1.0,0.0,120000000.0,60.0,0.0,1.0,1.0,33.33333333333333,31.296758104738153
27260|청구전원타운|apartment|59,2026-03,27260,apartment,59,190000000.0,195000000.0,1.0,2.0,120000000.0,61.53846153846154,-2.500000000000002,2.0,1.0,66.66666666666666,29.004854368932037
27260|청구전원타운|apartment|59,2026-04,27260,apartment,59,177000000.0,186000000.0,1.0,2.0,155000000.0,83.33333333333334,-6.999999999999995,1.5,2.0,100.0,48.073022312373226
27260|청구전원타운|apartment|74,2026-01,27260,apartment,74,0.0,0.0,0.0,1.0,20000000.0,0.0,0.0,0.0,1.0,0.0,17.142857142857142
